Pass;Result;Profit;Expected Payoff;Profit Factor;Recovery Factor;Sharpe Ratio;Custom;Equity DD %;Trades;periodo;timeframe;stopLoss;breakEven;stopMovel;confirmacaoVolume;qtddMediaCandlesVolume
4687;"11366,00";"8366,00";"34,00813";"1,91743";"7,12000";"0,15988";0;011;246;4;16385;1;2;1;2;3
13687;"11352,00";"8352,00";"36,15584";"2,00348";"8,70000";"0,16671";0;009;231;4;16385;1;2;1;4;3
13507;"11308,00";"8308,00";"32,96825";"1,95472";"8,47755";"0,15976";0;009;252;4;16385;1;1;1;4;3
22687;"11229,00";"8229,00";"32,65476";"1,84914";"6,70114";"0,15511";0;011;252;4;16385;1;2;1;1;4
187;"11202,00";"8202,00";"32,41897";"1,85562";"6,98043";"0,15397";0;011;253;4;16385;1;2;1;1;3
18187;"11071,00";"8071,00";"35,55507";"1,98032";"8,40729";"0,16490";0;009;227;4;16385;1;2;1;5;3
9187;"11071,00";"8071,00";"33,76987";"1,91967";"7,41139";"0,15959";0;010;239;4;16385;1;2;1;3;3
22507;"11028,00";"8028,00";"29,29927";"1,78261";"6,16590";"0,14687";0;012;274;4;16385;1;1;1;1;4
18007;"11027,00";"8027,00";"32,36694";"1,93272";"8,19082";"0,15797";0;009;248;4;16385;1;1;1;5;3
45545;"11023,00";"8023,00";"28,34982";"1,79365";"8,11224";"0,12240";0;010;283;8;30;1;4;1;1;5
45365;"11022,00";"8022,00";"27,56701";"1,78386";"8,11122";"0,13576";0;010;291;8;30;1;3;1;1;5